year,experiment,source,rep,date,location,species_richness,total_cover,inititals
2020,solo survey,pilot,6,9/24/2020,Boyd Conservation Park,3,40,RD
2020,solo survey,pilot,7,9/25/2020,Kortright Centre for Conservation,3,75,RD
2020,solo survey,pilot,8,9/25/2020,Kortright Centre for Conservation,1,25,RD
2020,solo survey,pilot,9,9/25/2020,Kortright Centre for Conservation,1,20,RD
2020,solo survey,pilot,10,9/25/2020,Kortright Centre for Conservation,2,10,RD
2020,solo survey,pilot,11,9/25/2020,Kortright Centre for Conservation,5,90,RD
2020,solo survey,pilot,12,9/25/2020,Kortright Centre for Conservation,4,75,RD
2020,solo survey,pilot,13,9/26/2020,Claireville Conservation Area,3,50,RD
2020,solo survey,pilot,14,9/26/2020,Claireville Conservation Area,3,50,RD
2020,solo survey,pilot,15,9/26/2020,Claireville Conservation Area,2,10,RD
2020,solo survey,pilot,16,9/26/2020,Claireville Conservation Area,1,10,RD
2020,solo survey,pilot,17,9/26/2020,Claireville Conservation Area,4,50,RD
2020,solo survey,pilot,18,9/26/2020,Claireville Conservation Area,5,75,RD
2020,solo survey,pilot,19,9/26/2020,Claireville Conservation Area,3,25,RD
2020,solo survey,pilot,20,9/26/2020,Claireville Conservation Area,3,40,RD
2020,solo survey,pilot,1,09/18/2020,HILL,,1,AN
2020,solo survey,pilot,3,09/18/2020,HILL,,1,AN
2020,solo survey,pilot,4,09/18/2020,HILL,,1,AN
2020,solo survey,pilot,4,09/18/2020,HILL,,5,AN
2020,solo survey,pilot,4,09/18/2020,HILL,,1,AN
2020,solo survey,pilot,5,09/18/2020,HILL,,3,AN
2020,solo survey,pilot,5,09/18/2020,HILL,,1,AN
2020,solo survey,pilot,6,09/18/2020,HILL,,5,AN
2020,solo survey,pilot,6,09/18/2020,HILL,,10,AN
2020,solo survey,pilot,7,09/18/2020,HILL,,5,AN
2020,solo survey,pilot,7,09/18/2020,HILL,,5,AN
2020,solo survey,pilot,8,09/18/2020,HILL,,40,AN
2020,solo survey,pilot,8,09/18/2020,HILL,,1,AN
2020,solo survey,pilot,8,09/18/2020,HILL,,5,AN
2020,solo survey,pilot,9,09/18/2020,HILL,,2,AN
2020,solo survey,pilot,9,09/18/2020,HILL,,5,AN
2020,solo survey,pilot,10,09/18/2020,HILL,,7,AN
2020,solo survey,pilot,10,09/18/2020,HILL,,5,AN
2020,solo survey,pilot,10,09/18/2020,HILL,,1,AN
2020,solo survey,pilot,11,09/18/2020,HILL,,1,AN
2020,solo survey,pilot,11,09/18/2020,HILL,,1,AN
2020,solo survey,pilot,11,09/18/2020,HILL,,10,AN
2020,solo survey,pilot,11,09/18/2020,HILL,,5,AN
2020,solo survey,pilot,12,09/18/2020,HILL,,15,AN
2020,solo survey,pilot,13,09/18/2020,HILL,,20,AN
2020,solo survey,pilot,13,09/18/2020,HILL,,2,AN
2020,solo survey,pilot,14,09/18/2020,HILL,,5,AN
2020,solo survey,pilot,14,09/18/2020,HILL,,1,AN
2020,solo survey,pilot,14,09/18/2020,HILL,,5,AN
2020,solo survey,pilot,14,09/18/2020,HILL,,5,AN
2020,solo survey,pilot,15,09/18/2020,HILL,,25,AN
2020,solo survey,pilot,15,09/18/2020,HILL,,5,AN
2020,solo survey,pilot,15,09/18/2020,HILL,,1,AN
2020,solo survey,pilot,15,09/18/2020,HILL,,2,AN
2020,solo survey,pilot,16,09/18/2020,HILL,,3,AN
2020,solo survey,pilot,16,09/18/2020,HILL,,5,AN
2020,solo survey,pilot,16,09/18/2020,HILL,,1,AN
2020,solo survey,pilot,17,09/18/2020,HILL,,10,AN
2020,solo survey,pilot,17,09/18/2020,HILL,,5,AN
2020,solo survey,pilot,17,09/18/2020,HILL,,5,AN
2020,solo survey,pilot,17,09/18/2020,HILL,,2,AN
2020,solo survey,pilot,18,09/18/2020,HILL,,3,AN
2020,solo survey,pilot,18,09/18/2020,HILL,,10,AN
2020,solo survey,pilot,18,09/18/2020,HILL,,5,AN
2020,solo survey,pilot,18,09/18/2020,HILL,,7,AN
2020,solo survey,pilot,19,09/18/2020,HILL,,20,AN
2020,solo survey,pilot,19,09/18/2020,HILL,,5,AN
2020,solo survey,pilot,19,09/18/2020,HILL,,10,AN
2020,solo survey,pilot,20,09/18/2020,HILL,,2,AN
2020,solo survey,pilot,20,09/18/2020,HILL,,20,AN
2020,solo survey,pilot,20,09/18/2020,HILL,,5,AN
2020,solo survey,pilot,20,09/18/2020,HILL,,2,AN
2020,solo survey,pilot,20,09/18/2020,HILL,,5,AN
2020,solo survey,pilot,21,09/18/2020,HILL,,10,AN
2020,solo survey,pilot,21,09/18/2020,HILL,,10,AN
2020,solo survey,pilot,21,09/18/2020,HILL,,10,AN
2020,solo survey,pilot,21,09/18/2020,HILL,,5,AN
2020,solo survey,pilot,21,09/18/2020,HILL,,1,AN
2020,solo survey,pilot,22,09/18/2020,HILL,,10,AN
2020,solo survey,pilot,22,09/18/2020,HILL,,5,AN
2020,solo survey,pilot,22,09/18/2020,HILL,,1,AN
2020,solo survey,pilot,22,09/18/2020,HILL,,1,AN
2020,solo survey,pilot,23,09/18/2020,HILL,,5,AN
2020,solo survey,pilot,23,09/18/2020,HILL,,5,AN
2020,solo survey,pilot,23,09/18/2020,HILL,,1,AN
2020,solo survey,pilot,24,09/18/2020,HILL,,1,AN
2020,solo survey,pilot,24,09/18/2020,HILL,,1,AN
2020,solo survey,pilot,25,09/18/2020,HILL,,5,AN
2020,solo survey,pilot,25,09/18/2020,HILL,,1,AN
2020,solo survey,pilot,25,09/18/2020,HILL,,1,AN
2020,solo survey,pilot,26,09/18/2020,HILL,,5,AN
2020,solo survey,pilot,26,09/18/2020,HILL,,1,AN
2020,solo survey,pilot,27,09/18/2020,HILL,,2,AN
2020,solo survey,pilot,28,09/18/2020,HILL,,5,AN
2020,solo survey,pilot,28,09/18/2020,HILL,,5,AN
2020,solo survey,pilot,28,09/18/2020,HILL,,5,AN
2020,solo survey,pilot,29,09/18/2020,HILL,,15,AN
2020,solo survey,pilot,29,09/18/2020,HILL,,3,AN
2020,solo survey,pilot,29,09/18/2020,HILL,,3,AN
2020,solo survey,pilot,30,09/18/2020,HILL,,5,AN
2020,solo survey,pilot,30,09/18/2020,HILL,,5,AN
2020,solo survey,pilot,30,09/18/2020,HILL,,3,AN
2020,solo survey,pilot,31,09/18/2020,HILL,,5,AN
2020,solo survey,pilot,31,09/18/2020,HILL,,5,AN
2020,solo survey,pilot,31,09/18/2020,HILL,,5,AN
2020,solo survey,pilot,31,09/18/2020,HILL,,5,AN
2020,solo survey,pilot,32,09/18/2020,HILL,,2,AN
2020,solo survey,pilot,32,09/18/2020,HILL,,2,AN
2020,solo survey,pilot,33,09/18/2020,HILL,,1,AN
2020,solo survey,pilot,33,09/18/2020,HILL,,7,AN
2020,solo survey,pilot,33,09/18/2020,HILL,,2,AN
2020,solo survey,pilot,34,09/18/2020,HILL,,20,AN
2020,solo survey,pilot,34,09/18/2020,HILL,,1,AN
2020,solo survey,pilot,35,09/18/2020,HILL,,2,AN
2020,solo survey,pilot,36,09/18/2020,HILL,,1,AN
2020,solo survey,pilot,37,09/18/2020,HILL,,1,AN
2020,solo survey,pilot,37,09/18/2020,HILL,,2,AN
2020,solo survey,pilot,37,09/18/2020,HILL,,1,AN
2020,solo survey,pilot,38,09/18/2020,HILL,,1,AN
2020,solo survey,pilot,38,09/18/2020,HILL,,7,AN
2020,solo survey,pilot,38,09/18/2020,HILL,,1,AN
2020,solo survey,pilot,39,09/18/2020,HILL,,3,AN
2020,solo survey,pilot,39,09/18/2020,HILL,,5,AN
2020,solo survey,pilot,40,09/18/2020,HILL,,10,AN
2020,solo survey,pilot,40,09/18/2020,HILL,,10,AN
2020,solo survey,pilot,40,09/18/2020,HILL,,1,AN
2020,solo survey,pilot,41,09/18/2020,HiLL,,40,AN
2020,solo survey,pilot,41,09/18/2020,HiLL,,10,AN
2020,solo survey,pilot,41,09/18/2020,HiLL,,3,AN
2020,solo survey,pilot,41,09/18/2020,HiLL,,1,AN
2020,solo survey,pilot,42,09/18/2020,HILL,,30,AN
2020,solo survey,pilot,42,09/18/2020,HILL,,10,AN
2020,solo survey,pilot,42,09/18/2020,HILL,,2,AN
2020,solo survey,pilot,42,09/18/2020,HILL,,2,AN
2020,solo survey,pilot,43,09/18/2020,HILL,,3,AN
2020,solo survey,pilot,43,09/18/2020,HILL,,60,AN
2020,solo survey,pilot,43,09/18/2020,HILL,,5,AN
2020,solo survey,pilot,43,09/18/2020,HILL,,5,AN
2020,solo survey,pilot,44,09/18/2020,HILL,,5,AN
2020,solo survey,pilot,44,09/18/2020,HILL,,60,AN
2020,solo survey,pilot,44,09/18/2020,HILL,,3,AN
2020,solo survey,pilot,44,09/18/2020,HILL,,5,AN
2020,solo survey,pilot,44,09/18/2020,HILL,,3,AN
2020,solo survey,pilot,45,09/18/2020,HILL,,40,AN
2020,solo survey,pilot,45,09/18/2020,HILL,,2,AN
2020,solo survey,pilot,45,09/18/2020,HILL,,3,AN
2020,solo survey,pilot,46,09/18/2020,HILL,,20,AN
2020,solo survey,pilot,46,09/18/2020,HILL,,10,AN
2020,solo survey,pilot,46,09/18/2020,HILL,,10,AN
2020,solo survey,pilot,46,09/18/2020,HILL,,5,AN
2020,solo survey,pilot,46,09/18/2020,HILL,,3,AN
2020,solo survey,pilot,47,09/18/2020,HILL,,50,AN
2020,solo survey,pilot,47,09/18/2020,HILL,,1,AN
2020,solo survey,pilot,48,09/18/2020,HILL,,45,AN
2020,solo survey,pilot,48,09/18/2020,HILL,,3,AN
2020,solo survey,pilot,49,09/18/2020,HILL,,75,AN
2020,solo survey,pilot,49,09/18/2020,HILL,,1,AN
2020,solo survey,pilot,49,09/18/2020,HILL,,1,AN
2020,solo survey,pilot,50,09/18/2020,HILL,,60,AN
2020,solo survey,pilot,1,09/13/2020,Village Green Park,2,20,RD
2020,solo survey,pilot,2,09/13/2020,Village Green Park,1,30,RD
2020,solo survey,pilot,3,09/13/2020,Village Green Park,3,25,RD
2020,solo survey,pilot,4,09/13/2020,Village Green Park,1,10,RD
2020,solo survey,pilot,5,09/13/2020,Village Green Park,1,30,RD
2020,solo survey,pilot,6,09/13/2020,Village Green Park,2,20,RD
2020,solo survey,pilot,7,09/13/2020,Village Green Park,1,10,RD
2020,solo survey,pilot,8,09/13/2020,Village Green Park,1,10,RD
2020,solo survey,pilot,9,09/13/2020,Village Green Park,1,10,RD
2020,solo survey,pilot,10,09/13/2020,Village Green Park,2,10,RD
2020,solo survey,pilot,11,09/13/2020,Village Green Park,2,20,RD
2020,solo survey,pilot,12,09/13/2020,Village Green Park,3,10,RD
2020,solo survey,pilot,13,09/13/2020,Village Green Park,1,30,RD
2020,solo survey,pilot,14,09/14/2020,Daniel Malecki Park,3,25,RD
2020,solo survey,pilot,15,09/14/2020,Daniel Malecki Park,4,30,RD
2020,solo survey,pilot,16,09/14/2020,Daniel Malecki Park,3,40,RD
2020,solo survey,pilot,17,09/14/2020,Daniel Malecki Park,4,25,RD
2020,solo survey,pilot,18,09/14/2020,Daniel Malecki Park,4,30,RD
2020,solo survey,pilot,19,09/14/2020,Daniel Malecki Park,3,50,RD
2020,solo survey,pilot,20,09/14/2020,Daniel Malecki Park,3,30,RD
2020,solo survey,pilot,21,09/14/2020,Daniel Malecki Park,2,25,RD
2020,solo survey,pilot,22,09/14/2020,Daniel Malecki Park,3,40,RD
2020,solo survey,pilot,23,09/14/2020,Daniel Malecki Park,4,30,RD
2020,solo survey,pilot,24,09/14/2020,Daniel Malecki Park,4,30,RD
2020,solo survey,pilot,25,09/14/2020,Daniel Malecki Park,3,40,RD
2020,solo survey,pilot,26,09/14/2020,Daniel Malecki Park,3,50,RD
2020,solo survey,pilot,27,09/15/2020,Michael Fitzgerad Parkette,4,75,RD
2020,solo survey,pilot,28,09/15/2020,Michael Fitzgerad Parkette,4,50,RD
2020,solo survey,pilot,29,09/15/2020,Michael Fitzgerad Parkette,4,50,RD
2020,solo survey,pilot,30,09/15/2020,Michael Fitzgerad Parkette,5,75,RD
2020,solo survey,pilot,31,09/15/2020,Michael Fitzgerad Parkette,3,55,RD
2020,solo survey,pilot,32,09/15/2020,Michael Fitzgerad Parkette,5,60,RD
2020,solo survey,pilot,33,09/15/2020,Michael Fitzgerad Parkette,4,50,RD
2020,solo survey,pilot,34,09/15/2020,Michael Fitzgerad Parkette,4,75,RD
2020,solo survey,pilot,35,09/15/2020,Michael Fitzgerad Parkette,5,70,RD
2020,solo survey,pilot,36,09/15/2020,Michael Fitzgerad Parkette,4,50,RD
2020,solo survey,pilot,37,09/15/2020,Michael Fitzgerad Parkette,5,60,RD
2020,solo survey,pilot,38,09/15/2020,Michael Fitzgerad Parkette,3,75,RD
2020,solo survey,pilot,39,09/15/2020,Michael Fitzgerad Parkette,4,75,RD
